Date,Product,Category,Units_Sold,Unit_Price,City,Total_Sales
2024-01-01,Tablet,Accessories,14,1500,Riyadh,21000
2024-01-02,Tablet,Accessories,14,2000,Cairo,28000
2024-01-03,Tablet,Electronics,19,1000,Riyadh,19000
2024-01-04,Phone,Accessories,17,2000,Riyadh,34000
2024-01-05,Tablet,Electronics,4,500,New York,2000
2024-01-06,Laptop,Electronics,8,1500,Riyadh,12000
2024-01-07,Phone,Electronics,3,1000,Dubai,3000
2024-01-08,Laptop,Electronics,6,1000,New York,6000
2024-01-09,Headphones,Electronics,5,500,New York,2500
2024-01-10,Laptop,Accessories,7,500,Riyadh,3500
2024-01-11,Tablet,Accessories,9,2000,Dubai,18000
2024-01-12,Tablet,Electronics,14,1500,Dubai,21000
2024-01-13,Laptop,Accessories,4,2000,Cairo,8000
2024-01-14,Headphones,Accessories,15,2000,Dubai,30000
2024-01-15,Headphones,Accessories,16,2000,Cairo,32000
2024-01-16,Phone,Accessories,6,500,Riyadh,3000
2024-01-17,Tablet,Accessories,13,500,Dubai,6500
2024-01-18,Headphones,Electronics,2,1500,Riyadh,3000
2024-01-19,Laptop,Accessories,8,1500,Cairo,12000
2024-01-20,Phone,Electronics,11,500,Dubai,5500
2024-01-21,Tablet,Accessories,3,1000,Cairo,3000
2024-01-22,Headphones,Electronics,19,1500,Cairo,28500
2024-01-23,Tablet,Accessories,18,2000,Cairo,36000
2024-01-24,Headphones,Electronics,7,1500,Cairo,10500
2024-01-25,Tablet,Accessories,9,500,Dubai,4500
2024-01-26,Laptop,Electronics,19,2000,Riyadh,38000
2024-01-27,Tablet,Accessories,6,1500,New York,9000
2024-01-28,Tablet,Electronics,5,2000,Cairo,10000
2024-01-29,Phone,Electronics,11,2000,Riyadh,22000
2024-01-30,Tablet,Electronics,6,1500,Dubai,9000
2024-01-31,Tablet,Electronics,12,500,Cairo,6000
2024-02-01,Laptop,Electronics,3,1000,Riyadh,3000
2024-02-02,Headphones,Electronics,5,1000,Dubai,5000
2024-02-03,Phone,Electronics,15,1000,Cairo,15000
2024-02-04,Headphones,Electronics,2,500,Cairo,1000
2024-02-05,Headphones,Accessories,1,1000,Dubai,1000
2024-02-06,Headphones,Electronics,16,1500,Cairo,24000
2024-02-07,Laptop,Accessories,13,1000,New York,13000
2024-02-08,Laptop,Electronics,14,1000,Cairo,14000
2024-02-09,Tablet,Electronics,8,2000,Riyadh,16000
